x,y,z,
2.56655e-18,-2.02455e-13,0.0078125,
2.56655e-18,-2.02455e-13,0.0078125,
7.36624e-18,-1.42843e-13,0.0078125,
7.36624e-18,-1.42843e-13,0.0078125,
2.67392e-17,-3.29361e-13,0.0078125,
2.67392e-17,-3.29361e-13,0.0078125,
3.18965e-16,-4.34688e-11,0.0078125,
3.18965e-16,-4.34688e-11,0.0078125,
4.4161e-15,-7.1545e-10,0.0078125,
4.4161e-15,-7.1545e-10,0.0078125,
1.26085e-13,-1.82795e-09,0.0078125,
1.26085e-13,-1.82795e-09,0.0078125,
1.83054e-12,-6.19559e-08,0.0078125,
1.83054e-12,-6.19559e-08,0.0078125,
4.35398e-12,-4.71655e-07,0.0078125,
4.35398e-12,-4.71655e-07,0.0078125,
9.96997e-12,-4.43189e-07,0.0078125,
9.96997e-12,-4.43189e-07,0.0078125,
8.37926e-12,-4.30951e-07,0.0078125,
8.37926e-12,-4.30951e-07,0.0078125,
7.08988e-12,-5.56351e-07,0.0078125,
7.08988e-12,-5.56351e-07,0.0078125,
6.21068e-12,-5.89003e-07,0.0078125,
6.21068e-12,-5.89003e-07,0.0078125,
1.41505e-11,-1.25473e-06,0.0078125,
1.41505e-11,-1.25473e-06,0.0078125,
1.64768e-11,-1.89385e-06,0.0078125,
1.64768e-11,-1.89385e-06,0.0078125,
2.25588e-11,-3.40839e-06,0.0078125,
2.25588e-11,-3.40839e-06,0.0078125,
2.6778e-11,-1.47425e-06,0.0078125,
2.6778e-11,-1.47425e-06,0.0078125,
6.31045e-12,-6.57334e-07,0.0078125,
6.31045e-12,-6.57334e-07,0.0078125,
2.73803e-12,-2.19097e-07,0.0078125,
2.73803e-12,-2.19097e-07,0.0078125,
9.94313e-14,-3.85726e-08,0.0078125,
9.94313e-14,-3.85726e-08,0.0078125,
1.57576e-13,-7.5346e-09,0.0078125,
1.57576e-13,-7.5346e-09,0.0078125,
1.01153e-14,-9.5022e-10,0.0078125,
1.01153e-14,-9.5022e-10,0.0078125,
4.44802e-14,-7.88412e-10,0.0078125,
4.44802e-14,-7.88412e-10,0.0078125,
5.14865e-13,-3.03973e-09,0.0078125,
5.14865e-13,-3.03973e-09,0.0078125,
5.15287e-15,-2.14796e-11,0.0078125,
5.15287e-15,-2.14796e-11,0.0078125,
7.75109e-13,-2.37666e-09,0.0078125,
7.75109e-13,-2.37666e-09,0.0078125,
3.30674e-13,-1.72623e-09,0.0078125,
3.30674e-13,-1.72623e-09,0.0078125,
4.69734e-13,-1.59921e-09,0.0078125,
4.69734e-13,-1.59921e-09,0.0078125,
1.41675e-13,-9.41991e-10,0.0078125,
1.41675e-13,-9.41991e-10,0.0078125,
3.42249e-14,-5.52287e-11,0.0078125,
3.42249e-14,-5.52287e-11,0.0078125,
2.18379e-16,-9.51138e-12,0.0078125,
2.18379e-16,-9.51138e-12,0.0078125,
2.50483e-15,-3.702e-10,0.0078125,
2.50483e-15,-3.702e-10,0.0078125,
