x,y,z,
-1.77593e-06,0.00043099,0.0078125,
-1.77593e-06,0.00043099,0.0078125,
-2.03731e-06,0.000748931,0.0078125,
-2.03731e-06,0.000748931,0.0078125,
-2.38222e-06,0.000843915,0.0078125,
-2.38222e-06,0.000843915,0.0078125,
-2.48661e-06,0.000743565,0.0078125,
-2.48661e-06,0.000743565,0.0078125,
-2.96413e-06,0.000638421,0.0078125,
-2.96413e-06,0.000638421,0.0078125,
-1.76045e-06,0.00024374,0.0078125,
-1.76045e-06,0.00024374,0.0078125,
-5.95113e-07,9.19717e-05,0.0078125,
-5.95113e-07,9.19717e-05,0.0078125,
-1.2829e-07,1.09818e-05,0.0078125,
-1.2829e-07,1.09818e-05,0.0078125,
-3.94763e-08,5.76948e-08,0.0078125,
-3.94763e-08,5.76948e-08,0.0078125,
-5.22353e-09,2.29874e-07,0.0078125,
-5.22353e-09,2.29874e-07,0.0078125,
-1.89005e-09,7.89618e-09,0.0078125,
-1.89005e-09,7.89618e-09,0.0078125,
-2.55719e-10,5.50386e-14,0.0078125,
-2.55719e-10,5.50386e-14,0.0078125,
-5.57853e-12,-2.58607e-21,0.0078125,
-5.57853e-12,-2.58607e-21,0.0078125,
-1.22661e-11,-9.34186e-11,0.0078125,
-1.22661e-11,-9.34186e-11,0.0078125,
-8.76232e-12,-7.9802e-10,0.0078125,
-8.76232e-12,-7.9802e-10,0.0078125,
-1.08145e-11,-1.37528e-08,0.0078125,
-1.08145e-11,-1.37528e-08,0.0078125,
-7.93524e-12,-2.6107e-08,0.0078125,
-7.93524e-12,-2.6107e-08,0.0078125,
-5.00918e-12,-9.6685e-09,0.0078125,
-5.00918e-12,-9.6685e-09,0.0078125,
